,index,Location Name,Address,City,Zip Code,Wait Time(Mins),Map,timestamp
0,0,WHEATON REC CENTER,11701 Georgia Ave,Wheaton,20902,0.0,Map link,2020-10-26 13:27:12.373124
1,1,DAMASCUS REC CENTER,25520 Oak Dr,Damascus,20872,10.0,Map link,2020-10-26 13:27:12.373124
2,2,POTOMAC REC CENTER,11315 Falls Rd,Potomac,20854,10.0,Map link,2020-10-26 13:27:12.373124
3,3,SILVER SPRING CIVIC BUILDING,1 Veterans Pl,Silver Spring,20910,10.0,Map link,2020-10-26 13:27:12.373124
4,4,GERMANTOWN RECREATION CENTER,18905 Kingsview Rd,Germantown,20874,16.0,Map link,2020-10-26 13:27:12.373124
5,5,MARILYN PRAISNER REC CENTER,14906 Old Columbia Pike,Burtonsville,20866,20.0,Map link,2020-10-26 13:27:12.373124
6,6,MID-COUNTY REC CENTER,2004 Queensguard Rd,Silver Spring,20906,20.0,Map link,2020-10-26 13:27:12.373124
7,7,SANDY SPRING VOLUNTEER FIRE DEPT,17921 Brooke Rd,Sandy Spring,20860,30.0,Map link,2020-10-26 13:27:12.373124
8,8,JANE LAWTON COMMUNITY RECREATION CENTER,4301 Willow Ln,Chevy Chase,20815,45.0,Map link,2020-10-26 13:27:12.373124
9,9,ACTIVITY CENTER BOHRER PARK,506 S. Frederick Ave,Gaithersburg,20877,50.0,Map link,2020-10-26 13:27:12.373124
10,10,EXECUTIVE OFFICE BUILDING,101 Monroe St,Rockville,20850,90.0,Map link,2020-10-26 13:27:12.373124
11,0,WHEATON REC CENTER,11701 Georgia Ave,Wheaton,20902,0.0,Map link,2020-10-26 13:27:19.886847
12,1,DAMASCUS REC CENTER,25520 Oak Dr,Damascus,20872,10.0,Map link,2020-10-26 13:27:19.886847
13,2,POTOMAC REC CENTER,11315 Falls Rd,Potomac,20854,10.0,Map link,2020-10-26 13:27:19.886847
14,3,SILVER SPRING CIVIC BUILDING,1 Veterans Pl,Silver Spring,20910,10.0,Map link,2020-10-26 13:27:19.886847
15,4,GERMANTOWN RECREATION CENTER,18905 Kingsview Rd,Germantown,20874,16.0,Map link,2020-10-26 13:27:19.886847
16,5,MARILYN PRAISNER REC CENTER,14906 Old Columbia Pike,Burtonsville,20866,20.0,Map link,2020-10-26 13:27:19.886847
17,6,MID-COUNTY REC CENTER,2004 Queensguard Rd,Silver Spring,20906,20.0,Map link,2020-10-26 13:27:19.886847
18,7,SANDY SPRING VOLUNTEER FIRE DEPT,17921 Brooke Rd,Sandy Spring,20860,30.0,Map link,2020-10-26 13:27:19.886847
19,8,JANE LAWTON COMMUNITY RECREATION CENTER,4301 Willow Ln,Chevy Chase,20815,45.0,Map link,2020-10-26 13:27:19.886847
20,9,ACTIVITY CENTER BOHRER PARK,506 S. Frederick Ave,Gaithersburg,20877,50.0,Map link,2020-10-26 13:27:19.886847
21,10,EXECUTIVE OFFICE BUILDING,101 Monroe St,Rockville,20850,90.0,Map link,2020-10-26 13:27:19.886847
22,0,WHEATON REC CENTER,11701 Georgia Ave,Wheaton,20902,0.0,Map link,2020-10-26 13:31:32.796017
23,1,DAMASCUS REC CENTER,25520 Oak Dr,Damascus,20872,10.0,Map link,2020-10-26 13:31:32.796017
24,2,POTOMAC REC CENTER,11315 Falls Rd,Potomac,20854,10.0,Map link,2020-10-26 13:31:32.796017
25,3,SILVER SPRING CIVIC BUILDING,1 Veterans Pl,Silver Spring,20910,10.0,Map link,2020-10-26 13:31:32.796017
26,4,GERMANTOWN RECREATION CENTER,18905 Kingsview Rd,Germantown,20874,16.0,Map link,2020-10-26 13:31:32.796017
27,5,MARILYN PRAISNER REC CENTER,14906 Old Columbia Pike,Burtonsville,20866,20.0,Map link,2020-10-26 13:31:32.796017
28,6,MID-COUNTY REC CENTER,2004 Queensguard Rd,Silver Spring,20906,20.0,Map link,2020-10-26 13:31:32.796017
29,7,SANDY SPRING VOLUNTEER FIRE DEPT,17921 Brooke Rd,Sandy Spring,20860,30.0,Map link,2020-10-26 13:31:32.796017
